,names,pvals_adj,logfoldchanges
0,GRN,7.904884957125378e-06,1.8681706
1,MTATP6P1,1.2604983089054109e-05,0.46656552
140,HSP90AB1,3.0656327157716566e-05,-0.6792997
2,MTND1P23,3.0656327157716566e-05,2.360006
3,HLA-A,0.00011733026084579455,1.362329
139,RPS4Y1,0.00012449455640452963,-2.1593344
4,LGALS3BP,0.0001877457450063777,1.6880729
5,SERPINA1,0.00033769402061100415,2.4092126
6,XIST,0.000578217210874073,2.280665
7,TSIX,0.0009048042495845881,2.178264
8,JUNB,0.0011937865962752731,1.3853093
9,ATP6V0E2,0.00141335086579824,1.6086657
10,PHPT1,0.00141335086579824,1.1776687
11,ARPC1B,0.00141335086579824,1.5106797
12,MT-CO2,0.001714086583073697,0.39772677
13,ATP5F1D,0.0017732977557152012,1.1432656
14,DDR1,0.0019558656501175976,1.3117173
138,HSP90AA1,0.002262761957811571,-0.6542301
15,MTND5P11,0.0024838548657460254,1.4203664
16,DPM3,0.0026433531316359415,1.2461504
17,QDPR,0.0026433531316359415,1.5851123
18,OAZ1,0.0026433531316359415,0.5918546
19,ROMO1,0.0026693313182955857,0.8234682
20,UQCR11,0.0029156629070281027,0.74320215
21,MTCO1P12,0.0029471978968600866,1.2389299
22,CTSB,0.002981852950175316,1.4234105
25,NDUFA13,0.0031067141862286853,0.900847
26,TRAPPC1,0.0031067141862286853,1.1705227
24,TOLLIP,0.0031067141862286853,1.4136097
23,CTSD,0.0031067141862286853,1.2439439
27,PKM,0.0032146795419409928,1.0913868
137,RPL7,0.003291389911075496,-0.5912794
28,HOOK2,0.003998387749999842,1.1795545
29,GPX4,0.004420469306164104,0.9930971
30,MT-ND4,0.004430186249620364,0.37116417
31,AKAP9,0.004430186249620364,1.2677145
32,PLD3,0.005076412990549835,1.366819
33,AC006064.4,0.005136333569342413,0.5708807
34,SHISA5,0.005233814215694711,1.3279518
35,MIF,0.005233814215694711,0.7934666
36,TM4SF4,0.005233814215694711,1.7213601
136,CNBP,0.005239556701924562,-0.4337344
37,ADGRG1,0.005605649826880282,1.4904141
38,SERF2,0.005866101727900866,0.5329299
39,DPM2,0.005901489565171936,1.345572
40,WDR83OS,0.006450461739637451,0.91024506
41,MIF-AS1,0.0065149095951592215,0.699038
42,MICOS13,0.0065149095951592215,1.0996168
43,UQCRQ,0.0065149095951592215,0.60679156
44,MT-RNR1,0.006796561863159119,0.53854275
45,FLOT1,0.006829907288752057,1.2781643
46,NDUFB2,0.0068313683483075,0.87549555
48,ISYNA1,0.007188619101810636,1.4327452
49,PAFAH1B3,0.007188619101810636,1.5419712
50,ACLY,0.007188619101810636,1.4318075
47,MTCO1P40,0.007188619101810636,1.6641041
51,CTSA,0.0073433413284940555,1.4170573
52,PRDX5,0.007976282333106913,0.9178364
53,HLA-C,0.008068146502777948,0.93706894
54,C4orf48,0.008168949409619299,1.0852395
55,CSTB,0.008168949409619299,0.96171296
56,DUT,0.00837546170549216,1.3842139
57,MRPL41,0.008383315837413509,1.1724304
58,RASD1,0.008690831604121855,1.3280313
59,COX7C,0.010151208024688106,0.43883982
60,DPP6,0.01114904803871664,1.4208552
62,TMEM176A,0.011285544598606981,1.4193451
61,CNP,0.011285544598606981,1.3430892
64,RTL8C,0.01174740786996963,1.0314168
65,LAMTOR1,0.01174740786996963,1.1463957
63,PTPRN,0.01174740786996963,1.4562619
66,APRT,0.013404728928715642,1.1515003
67,RPL26L1,0.013404728928715642,1.2390239
68,COX6C,0.013422383515135933,0.4826382
69,LSM7,0.013479776629619161,1.1030117
70,ZFP36,0.01389947683911188,1.2592707
71,UQCC2,0.013956037050182465,1.111611
72,ATP5PD,0.014149616676884406,0.7600148
73,SPATS2L,0.015146620986237704,1.2660862
74,EMC10,0.015298167468521385,1.0679947
75,SPINT2,0.01590359037400562,0.83241004
76,STXBP1,0.016402111638428384,1.49732
77,SUMF2,0.016481164703592247,1.2071707
79,CYSTM1,0.016821451850264096,0.84428275
78,GAPDH,0.016821451850264096,0.5143125
80,FAM234A,0.017519431991075158,1.3468076
81,NPC2,0.017519431991075158,0.99336076
82,NEDD8,0.017519431991075158,1.0113839
83,UBA1,0.017590193406168294,1.2390025
84,CIAO2B,0.017909165191774976,1.0544173
86,TBCA,0.0180149619104081,0.92586416
85,G6PC3,0.0180149619104081,1.2710079
87,AP1B1,0.018202795042218514,1.3069422
88,NUCB1,0.01881957266927979,1.0882546
89,VKORC1,0.019665093013614222,1.0206022
90,PRMT2,0.019665093013614222,1.3155495
91,SMIM22,0.019665093013614222,1.0591211
92,TMEM176B,0.019665093013614222,1.3924546
93,ATP6V1D,0.019665093013614222,1.2302438
94,CLDN7,0.019665093013614222,1.3878092
95,FAP,0.020186538532410748,1.5724732
97,UBL5,0.020215384006166005,0.54553264
98,RBX1,0.020215384006166005,1.0828173
96,POLR2L,0.020215384006166005,0.61852056
99,ATP5F1E,0.020220775466331057,0.5786672
101,TLE5,0.020220775466331057,1.0337034
100,COX8A,0.020220775466331057,0.69105524
102,CRIP2,0.020843993797492074,1.3031671
103,HIP1R,0.020843993797492074,1.3654661
104,AL671277.1,0.020843993797492074,1.0271147
105,TUSC3,0.023795422712377976,1.355316
106,PHKG1,0.024098675789618232,0.9380519
107,PRR13,0.024098675789618232,1.1211448
108,PRPF8,0.024350359945718263,1.2584138
109,PPIA,0.026122711819192155,0.29174796
110,TRMT112,0.02625865673316825,0.8777176
111,PHC1,0.027448808383508952,1.2476312
112,WNT4,0.030754558681717004,1.4526014
135,RPL7P1,0.030754558681717004,-0.5747528
113,CRTAP,0.03149336296328157,1.4188846
114,RAP1GAP,0.03275516376188591,1.2610304
115,DYNLRB1,0.03277061026075494,0.9075574
116,USP11,0.03290390718167173,1.2866974
117,ENO2,0.03487021439542341,1.3782825
119,MT-ND6,0.03824153820996493,0.36932117
118,NDUFA2,0.03824153820996493,0.87816703
120,IGFBP7,0.04199829608018494,1.0424311
121,IFI6,0.043539998155494516,1.0671251
122,TRAPPC5,0.04362305346781016,1.1466179
123,LSM4,0.04452157320962531,1.1263385
127,GPX3,0.04547492545442262,1.3990654
126,NDUFB3,0.04547492545442262,0.95024747
125,SMG5,0.04547492545442262,1.3642579
124,PNPLA6,0.04547492545442262,1.5872606
128,RNF167,0.04578475511246955,1.1051357
134,HSP90AB3P,0.04641671454603066,-0.6133168
129,PIN1,0.04641671454603066,1.1587418
131,MYH10,0.04780211539429921,1.2803831
130,CHGB,0.04780211539429921,1.3636342
132,COX7A2,0.04904578789270637,0.35067174
133,ARPC4,0.04923346672290517,0.99417293
